Timestamp(sec/#),Used(K),Total(K),Pause(sec),GC-Type
0.1170439,864,10432,0.0069561,GC
0.124,573,10432,0,NONE
0.10572500000000001,573,10432,0.026275,Full GC
0.132,538,10432,0,NONE
0.1597573,661,10432,2.427E-4,GC
0.16,570,10432,0,NONE
0.1497076,570,10432,0.0102924,Full GC
0.16,538,10432,0,NONE
0.1693225,599,10432,0.0026775,GC
0.172,538,10432,0,NONE
0.1684917,538,10432,0.0065083,Full GC
0.175,538,10432,0,NONE
0.1817614,599,10432,2.386E-4,GC
0.182,538,10432,0,NONE
0.16298959999999998,538,10432,0.0200104,Full GC
0.183,538,10432,0,NONE
0.2037375,599,10432,2.625E-4,GC
0.204,538,10432,0,NONE
0.19693809999999998,538,10432,0.0070619,Full GC
0.204,538,10432,0,NONE
0.2118051,599,10432,1.949E-4,GC
0.212,538,10432,0,NONE
0.20740429999999999,538,10432,0.0055957,Full GC
0.213,538,10432,0,NONE
0.2187966,599,10432,2.034E-4,GC
0.219,538,10432,0,NONE
0.2128937,538,10432,0.0071063,Full GC
0.22,538,10432,0,NONE
0.22692520000000002,599,10432,0.0010748,GC
0.228,538,10432,0,NONE
0.2136085,538,10432,0.0153915,Full GC
0.229,538,10432,0,NONE
0.2448055,599,10432,1.945E-4,GC
0.245,538,10432,0,NONE
0.2396647,538,10432,0.0063353,Full GC
0.246,538,10432,0,NONE
0.2528143,599,10432,1.857E-4,GC
0.253,538,10432,0,NONE
0.2480142,538,10432,0.0059858,Full GC
0.254,538,10432,0,NONE
